Top99_120_60(120, 60, 0.3, 3, 1.5)
It.:   1Obj.:    0.0103 Vol.:  0.203 ch.:  0.100
It.:   2Obj.:    0.0176 Vol.:  0.124 ch.:  0.100
It.:   3Obj.:    0.0507 Vol.:  0.157 ch.:  0.100
It.:   4Obj.:    0.0207 Vol.:  0.117 ch.:  0.100
It.:   5Obj.:    0.0432 Vol.:  0.145 ch.:  0.100
It.:   6Obj.:    0.0192 Vol.:  0.109 ch.:  0.100
It.:   7Obj.:    0.0368 Vol.:  0.128 ch.:  0.100
It.:   8Obj.:    0.0172 Vol.:  0.096 ch.:  0.100
It.:   9Obj.:    0.0286 Vol.:  0.105 ch.:  0.100
It.:  10Obj.:    0.0147 Vol.:  0.080 ch.:  0.099
It.:  11Obj.:    0.0230 Vol.:  0.087 ch.:  0.100
It.:  12Obj.:    0.0129 Vol.:  0.069 ch.:  0.099
It.:  13Obj.:    0.0196 Vol.:  0.076 ch.:  0.100
It.:  14Obj.:    0.0119 Vol.:  0.063 ch.:  0.095
It.:  15Obj.:    0.0178 Vol.:  0.070 ch.:  0.100
It.:  16Obj.:    0.0113 Vol.:  0.059 ch.:  0.098
It.:  17Obj.:    0.0169 Vol.:  0.066 ch.:  0.100
It.:  18Obj.:    0.0110 Vol.:  0.057 ch.:  0.100
It.:  19Obj.:    0.0165 Vol.:  0.065 ch.:  0.100
It.:  20Obj.:    0.0108 Vol.:  0.056 ch.:  0.100
It.:  21Obj.:    0.0163 Vol.:  0.064 ch.:  0.100
It.:  22Obj.:    0.0107 Vol.:  0.055 ch.:  0.100
It.:  23Obj.:    0.0161 Vol.:  0.063 ch.:  0.099
It.:  24Obj.:    0.0107 Vol.:  0.055 ch.:  0.100
It.:  25Obj.:    0.0161 Vol.:  0.063 ch.:  0.099
It.:  26Obj.:    0.0107 Vol.:  0.055 ch.:  0.100
It.:  27Obj.:    0.0160 Vol.:  0.063 ch.:  0.098
It.:  28Obj.:    0.0107 Vol.:  0.055 ch.:  0.100
It.:  29Obj.:    0.0160 Vol.:  0.062 ch.:  0.098
It.:  30Obj.:    0.0107 Vol.:  0.055 ch.:  0.100
It.:  31Obj.:    0.0160 Vol.:  0.062 ch.:  0.098
It.:  32Obj.:    0.0107 Vol.:  0.054 ch.:  0.100
It.:  33Obj.:    0.0160 Vol.:  0.062 ch.:  0.098
It.:  34Obj.:    0.0107 Vol.:  0.054 ch.:  0.099
It.:  35Obj.:    0.0159 Vol.:  0.062 ch.:  0.097
It.:  36Obj.:    0.0107 Vol.:  0.054 ch.:  0.099
It.:  37Obj.:    0.0159 Vol.:  0.062 ch.:  0.097
It.:  38Obj.:    0.0107 Vol.:  0.054 ch.:  0.099
It.:  39Obj.:    0.0159 Vol.:  0.062 ch.:  0.097
It.:  40Obj.:    0.0107 Vol.:  0.054 ch.:  0.098
It.:  41Obj.:    0.0159 Vol.:  0.062 ch.:  0.097
It.:  42Obj.:    0.0107 Vol.:  0.054 ch.:  0.098
It.:  43Obj.:    0.0159 Vol.:  0.062 ch.:  0.096
It.:  44Obj.:    0.0107 Vol.:  0.054 ch.:  0.098
It.:  45Obj.:    0.0159 Vol.:  0.062 ch.:  0.096
It.:  46Obj.:    0.0107 Vol.:  0.054 ch.:  0.097
It.:  47Obj.:    0.0159 Vol.:  0.062 ch.:  0.096
It.:  48Obj.:    0.0107 Vol.:  0.054 ch.:  0.097
It.:  49Obj.:    0.0159 Vol.:  0.062 ch.:  0.096
It.:  50Obj.:    0.0107 Vol.:  0.054 ch.:  0.097
It.:  51Obj.:    0.0158 Vol.:  0.062 ch.:  0.095
It.:  52Obj.:    0.0107 Vol.:  0.054 ch.:  0.097
It.:  53Obj.:    0.0158 Vol.:  0.062 ch.:  0.095
It.:  54Obj.:    0.0107 Vol.:  0.054 ch.:  0.096
It.:  55Obj.:    0.0158 Vol.:  0.062 ch.:  0.095
It.:  56Obj.:    0.0107 Vol.:  0.054 ch.:  0.096
It.:  57Obj.:    0.0158 Vol.:  0.062 ch.:  0.096
