>> Top99_120_60(120, 60, 0.3, 3, 3)
It.:   1Obj.:    0.0103 Vol.:  0.252 ch.:  0.050
It.:   2Obj.:    0.0117 Vol.:  0.204 ch.:  0.050
It.:   3Obj.:    0.0169 Vol.:  0.160 ch.:  0.050
It.:   4Obj.:    0.0278 Vol.:  0.137 ch.:  0.050
It.:   5Obj.:    0.0343 Vol.:  0.141 ch.:  0.050
It.:   6Obj.:    0.0277 Vol.:  0.129 ch.:  0.050
It.:   7Obj.:    0.0307 Vol.:  0.129 ch.:  0.050
It.:   8Obj.:    0.0251 Vol.:  0.118 ch.:  0.050
It.:   9Obj.:    0.0269 Vol.:  0.116 ch.:  0.050
It.:  10Obj.:    0.0222 Vol.:  0.104 ch.:  0.050
It.:  11Obj.:    0.0230 Vol.:  0.100 ch.:  0.050
It.:  12Obj.:    0.0195 Vol.:  0.091 ch.:  0.046
It.:  13Obj.:    0.0206 Vol.:  0.089 ch.:  0.050
It.:  14Obj.:    0.0180 Vol.:  0.083 ch.:  0.036
It.:  15Obj.:    0.0194 Vol.:  0.084 ch.:  0.047
It.:  16Obj.:    0.0172 Vol.:  0.079 ch.:  0.029
It.:  17Obj.:    0.0189 Vol.:  0.081 ch.:  0.040
It.:  18Obj.:    0.0169 Vol.:  0.077 ch.:  0.031
It.:  19Obj.:    0.0186 Vol.:  0.079 ch.:  0.037
It.:  20Obj.:    0.0168 Vol.:  0.076 ch.:  0.033
It.:  21Obj.:    0.0185 Vol.:  0.078 ch.:  0.035
It.:  22Obj.:    0.0167 Vol.:  0.076 ch.:  0.033
It.:  23Obj.:    0.0185 Vol.:  0.078 ch.:  0.034
It.:  24Obj.:    0.0167 Vol.:  0.075 ch.:  0.033
It.:  25Obj.:    0.0185 Vol.:  0.078 ch.:  0.033
It.:  26Obj.:    0.0167 Vol.:  0.075 ch.:  0.033
It.:  27Obj.:    0.0184 Vol.:  0.078 ch.:  0.033
It.:  28Obj.:    0.0166 Vol.:  0.075 ch.:  0.032
It.:  29Obj.:    0.0184 Vol.:  0.078 ch.:  0.032
It.:  30Obj.:    0.0166 Vol.:  0.075 ch.:  0.031
It.:  31Obj.:    0.0184 Vol.:  0.078 ch.:  0.032
It.:  32Obj.:    0.0166 Vol.:  0.075 ch.:  0.031
It.:  33Obj.:    0.0184 Vol.:  0.078 ch.:  0.031
It.:  34Obj.:    0.0166 Vol.:  0.075 ch.:  0.030
It.:  35Obj.:    0.0184 Vol.:  0.078 ch.:  0.030
It.:  36Obj.:    0.0166 Vol.:  0.075 ch.:  0.030
It.:  37Obj.:    0.0184 Vol.:  0.078 ch.:  0.030
It.:  38Obj.:    0.0166 Vol.:  0.075 ch.:  0.029
It.:  39Obj.:    0.0184 Vol.:  0.078 ch.:  0.029
It.:  40Obj.:    0.0166 Vol.:  0.075 ch.:  0.029
It.:  41Obj.:    0.0184 Vol.:  0.078 ch.:  0.029
It.:  42Obj.:    0.0166 Vol.:  0.075 ch.:  0.029
It.:  43Obj.:    0.0184 Vol.:  0.078 ch.:  0.029
It.:  44Obj.:    0.0166 Vol.:  0.075 ch.:  0.028
It.:  45Obj.:    0.0184 Vol.:  0.078 ch.:  0.028
It.:  46Obj.:    0.0166 Vol.:  0.075 ch.:  0.028
It.:  47Obj.:    0.0184 Vol.:  0.078 ch.:  0.028
It.:  48Obj.:    0.0166 Vol.:  0.075 ch.:  0.027
It.:  49Obj.:    0.0184 Vol.:  0.078 ch.:  0.027
It.:  50Obj.:    0.0166 Vol.:  0.075 ch.:  0.027
It.:  51Obj.:    0.0184 Vol.:  0.078 ch.:  0.027
It.:  52Obj.:    0.0166 Vol.:  0.075 ch.:  0.027
It.:  53Obj.:    0.0184 Vol.:  0.078 ch.:  0.027
It.:  54Obj.:    0.0166 Vol.:  0.075 ch.:  0.026
It.:  55Obj.:    0.0184 Vol.:  0.078 ch.:  0.026
It.:  56Obj.:    0.0166 Vol.:  0.075 ch.:  0.026
It.:  57Obj.:    0.0184 Vol.:  0.078 ch.:  0.026
It.:  58Obj.:    0.0166 Vol.:  0.075 ch.:  0.026
It.:  59Obj.:    0.0184 Vol.:  0.078 ch.:  0.026
It.:  60Obj.:    0.0166 Vol.:  0.075 ch.:  0.025
It.:  61Obj.:    0.0184 Vol.:  0.078 ch.:  0.025
It.:  62Obj.:    0.0166 Vol.:  0.075 ch.:  0.025
It.:  63Obj.:    0.0184 Vol.:  0.078 ch.:  0.025
It.:  64Obj.:    0.0166 Vol.:  0.075 ch.:  0.025
It.:  65Obj.:    0.0184 Vol.:  0.078 ch.:  0.025
It.:  66Obj.:    0.0166 Vol.:  0.075 ch.:  0.025
It.:  67Obj.:    0.0184 Vol.:  0.078 ch.:  0.025
It.:  68Obj.:    0.0166 Vol.:  0.075 ch.:  0.024
It.:  69Obj.:    0.0184 Vol.:  0.078 ch.:  0.024
It.:  70Obj.:    0.0166 Vol.:  0.075 ch.:  0.024
It.:  71Obj.:    0.0185 Vol.:  0.078 ch.:  0.024
It.:  72Obj.:    0.0166 Vol.:  0.075 ch.:  0.024
It.:  73Obj.:    0.0185 Vol.:  0.078 ch.:  0.024
It.:  74Obj.:    0.0166 Vol.:  0.075 ch.:  0.024
It.:  75Obj.:    0.0185 Vol.:  0.078 ch.:  0.024
It.:  76Obj.:    0.0166 Vol.:  0.075 ch.:  0.024
It.:  77Obj.:    0.0185 Vol.:  0.078 ch.:  0.023
It.:  78Obj.:    0.0166 Vol.:  0.075 ch.:  0.023
It.:  79Obj.:    0.0185 Vol.:  0.078 ch.:  0.023
It.:  80Obj.:    0.0166 Vol.:  0.075 ch.:  0.023
It.:  81Obj.:    0.0185 Vol.:  0.078 ch.:  0.023
It.:  82Obj.:    0.0166 Vol.:  0.075 ch.:  0.023
It.:  83Obj.:    0.0185 Vol.:  0.078 ch.:  0.023
It.:  84Obj.:    0.0166 Vol.:  0.075 ch.:  0.023
It.:  85Obj.:    0.0185 Vol.:  0.078 ch.:  0.023
It.:  86Obj.:    0.0166 Vol.:  0.075 ch.:  0.023
It.:  87Obj.:    0.0185 Vol.:  0.078 ch.:  0.023
It.:  88Obj.:    0.0166 Vol.:  0.075 ch.:  0.022
It.:  89Obj.:    0.0185 Vol.:  0.078 ch.:  0.022
It.:  90Obj.:    0.0166 Vol.:  0.075 ch.:  0.022
It.:  91Obj.:    0.0185 Vol.:  0.078 ch.:  0.022
It.:  92Obj.:    0.0166 Vol.:  0.075 ch.:  0.022
It.:  93Obj.:    0.0185 Vol.:  0.078 ch.:  0.022
It.:  94Obj.:    0.0166 Vol.:  0.075 ch.:  0.022
It.:  95Obj.:    0.0185 Vol.:  0.078 ch.:  0.022
It.:  96Obj.:    0.0166 Vol.:  0.075 ch.:  0.022
It.:  97Obj.:    0.0185 Vol.:  0.078 ch.:  0.022
It.:  98Obj.:    0.0166 Vol.:  0.075 ch.:  0.022
